"Lizenzliste: Wiley DEAL VP [EZB-WILEY-01713]"			 			 			 			 			 	
"Datum: 05.05.2020 um 15:30 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
7919	"American Journal of Community Psychology"	"Wiley-Blackwell - SSH; formerly Springer Science+Business Media B.V. "	"Psychologie"	"1573-2770"	"0091-0562"	"2014838-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=7919"	"https://onlinelibrary.wiley.com/journal/15732770"	1997	25						"Allgemeine psychologische Zeitschriften"
7410	"American Journal of Economics and Sociology, The"	"Wiley-Blackwell - SSH"	"Soziologie;Wirtschaftswissenschaften"	"1536-7150"	"0002-9246"	"2011062-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=7410"	"https://onlinelibrary.wiley.com/journal/15367150"	1997	56						"Wirtschaftssoziologie"
1816	"American Journal of Hematology"	"Wiley-Blackwell - STM "	"Medizin"	"1096-8652"	"0361-8609"	"1492749-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1816"	"https://onlinelibrary.wiley.com/journal/10968652"	1996	51						"Hämatologie;Onkologie"
4858	"American Journal of Human Biology"	"Wiley-Blackwell - STM "	"Biologie;Medizin"	"1520-6300"	"1042-0533"	"2001218-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=4858"	"https://onlinelibrary.wiley.com/journal/15206300"	1996	8						"Humanbiologie"
1818	"American Journal of Industrial Medicine"	"Wiley"	"Medizin"	"1097-0274"	"0271-3586"	"1491156-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1818"	"https://onlinelibrary.wiley.com/journal/10970274"	1996	29						"Arbeitsmedizin"
339553	"American Journal of Medical Genetics (1977-2002)"	"Wiley-Blackwell - STM "	"Medizin"	"1096-8628"	"0148-7299"	"2205916-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=339553"	"https://onlinelibrary.wiley.com/loi/10968628"	1996	61		2002	115			"Genetik"
1819	"American Journal of Medical Genetics, Part A"	"Wiley"	"Biologie;Medizin"	"1096-8628;1552-4833"	"0148-7299;1552-4825"	"1493479-6"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1819"	"https://onlinelibrary.wiley.com/journal/15524833"	2003	116						"Humanbiologie"
42143	"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics"	"Wiley"	"Medizin"	"1096-8628;1552-485X"	"0148-7299;1552-4841"	"2143866-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=42143"	"https://onlinelibrary.wiley.com/journal/1552485x"	2003	116						"Neurologie"
42144	"American Journal of Medical Genetics, Part C: Seminars in Medical Genetics"	"Wiley"	"Medizin"	"1096-8628;1552-4876"	"0148-7299;1552-4868"	"2143867-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=42144"	"https://onlinelibrary.wiley.com/journal/15524876"	2003	117						"Humanbiologie"
1821	"American Journal of Physical Anthropology"	"Wiley-Blackwell - STM "	"Biologie"	"1096-8644"	"0002-9483"	"1495833-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1821"	"https://onlinelibrary.wiley.com/journal/10968644"	1996	99						"Anthropologie"
1041	"American Journal of Political Science (AJPS) (2003-)"	"Wiley-Blackwell - SSH"	"Politologie"	"1540-5907"	"0092-5853"	"2010010-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1041"	"https://onlinelibrary.wiley.com/journal/15405907"	2003	47						"Allgemeine Politikwissenschaft"
1822	"American Journal of Primatology"	"Wiley-Blackwell - STM "	"Biologie"	"1098-2345"	"0275-2565"	"1495834-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1822"	"https://onlinelibrary.wiley.com/journal/10982345"	1996	38						"Allgemeine Zoologie;Anthrophologie"
8645	"American Journal of Reproductive Immunology"	"Wiley"	"Medizin"	"1600-0897"	"1046-7408;8755-8920"	"2024667-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=8645"	"https://onlinelibrary.wiley.com/journal/16000897"	1997	37						"Immunologie"
