Georg-Eckert-Institut - Leibniz-Institut für Internationale Schulbuchforschung	Georg-Eckert-Institut fu.r Internationale Schulbuchforschung
Georg-Eckert-Institut - Leibniz-Institut für Internationale Schulbuchforschung	Georg-Eckert-Institut - Leibniz-Institut fu.r Internationale Schulbuchforschung
Germanisches Nationalmuseum Nürnberg, Bibliothek	Germanisches Nationalmuseum
GESIS  - Leibniz-Institut für Sozialwissenschaften	GESIS - Leibniz-Institut fu.r Sozialwissenschaften
GIGA German Institute of Global and Area Studies - Informationszentrum, Hamburg	GIGA German Institute of Global and Area Studies
GIGA German Institute of Global and Area Studies - Informationszentrum, Hamburg	GIGA Institut fu.r Lateinamerikastudien
Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek	Gottfried Wilhelm Leibniz Bibliothek - Niedersa.chsische Landesbibliothek
Hamburger Lehrerbibliothek	Landesinstitut fu.r Lehrerbildung und Schulentwicklung
Helios Zentralbibliothek	HELIOS Kliniken GmbH
Helmholtz-Zentrum Berlin - Zentralbibliothek	Helmholtz-Zentrum Berlin fu.r Materialien und Energie
Helmholtz-Zentrum Dresden-Rossendorf e.V.	Helmholtz-Zentrum Dresden-Rossendorf
Helmholtz-Zentrum für Infektionsforschung, Braunschweig - Bibliothek	Helmholtz-Zentrum fu.r Infektionsforschung
Helmholtz-Zentrum für Umweltforschung GmbH - UFZ	Helmholtz-Zentrum fu.r Umweltforschung
Helmholtz-Zentrum Geesthacht, Bibliothek	Helmholtz-Zentrum Geesthacht
Helmholtz-Zentrum Geesthacht, Bibliothek	Helmholtz-Zentrum
Helmholtz Zentrum München - Zentralbibliothek	Helmholtz Zentrum Mu.nchen
Hertie School of Governance	Hertie School of Governance
Herzog August Bibliothek, Wolfenbüttel	Herzog August Bibliothek
Herzogin Anna Amalia Bibliothek Weimar	Herzogin Anna Amalia Bibliothek
Herz- und Diabeteszentrum NRW	Herz- und Diabeteszentrum Nordrhein-Westfalen
Hochschulbibliothek Aalen	Hochschule Aalen
Hochschulbibliothek Ansbach	Hochschule Ansbach
Hochschulbibliothek der Fachhochschule Aachen	Fachhochschule Aachen
Hochschulbibliothek der Fachhochschule Westküste	Fachhochschule Westku.ste
Hochschulbibliothek der FH Bielefeld	Fachhochschule Bielefeld
Hochschulbibliothek der HfG Schwäbisch Gmünd	Hochschule fu.r Gestaltung
Hochschulbibliothek der HfWU Nürtingen-Geislingen	Hochschule fu.r Wirtschaft und Umwelt Nu.rtingen-Geislingen
Hochschulbibliothek der Hochschule Bochum	Hochschule Bochum
Hochschulbibliothek der Hochschule Düsseldorf	Hochschule Du.sseldorf
Hochschulbibliothek der Hochschule Niederrhein	Hochschule Niederrhein
Hochschulbibliothek der Hochschule Zittau/Görlitz	Hochschule Zittau-Go.rlitz
Hochschulbibliothek der HTWG Konstanz	Hochschule Konstanz Technik, Wirtschaft und Gestaltung
Hochschulbibliothek der HTWK Leipzig	Hochschule fu.r Technik, Wirtschaft und Kultur
Hochschulbibliothek der TH Köln	Technische Hochschule Ko.ln
Hochschulbibliothek der WH Zwickau	Westsa.chsische Hochschule Zwickau
Hochschulbibliothek EAH Jena	Ernst-Abbe-Hochschule Jena
Hochschulbibliothek Emden/Leer	Hochschule Emden/Leer
Hochschulbibliothek Esslingen	Hochschule Esslingen
Hochschulbibliothek Friedensau	Theologische Hochschule Friedensau
Hochschulbibliothek Heilbronn	Hochschule Heilbronn
Hochschulbibliothek Hof	Hochschule Hof
Hochschulbibliothek Karlsruhe	Hochschule Karlsruhe - Technik und Wirtschaft
Hochschulbibliothek Kempten	Hochschule Kempten
Hochschulbibliothek Magdeburg-Stendal	Hochschule Magdeburg-Stendal
Hochschulbibliothek Mannheim	Hochschule Mannheim
Hochschulbibliothek Merseburg	Hochschule Merseburg
Hochschulbibliothek Mittweida	Hochschule Mittweida
Hochschulbibliothek Neubrandenburg	Hochschule Neubrandenburg
Hochschulbibliothek Neu-Ulm	Hochschule fu.r Angewandte Wissenschaften Neu-Ulm
Hochschulbibliothek OTH Regensburg	Ostbayerische Technische Hochschule Regensburg
Hochschulbibliothek Pforzheim	Hochschule Pforzheim
Hochschulbibliothek Stralsund	Fachhochschule Stralsund
Hochschulbibliothek Wismar	Hochschule Wismar
Hochschulbibliothek Worms	Hochschule Worms
Hochschulbibliothek Würzburg-Schweinfurt	Hochschule fu.r Angewandte Wissenschaften Wu.rzburg-Schweinfurt
Hochschule Albstadt-Sigmaringen / Bibliothek	Hochschule Albstadt-Sigmaringe
Hochschule Anhalt	Hochschule Anhalt
Hochschule Anhalt	Hochschule Anhalt (FH)
Hochschule der Medien (HdM)	Hochschule der Medien
Hochschule Fresenius, Idstein	Hochschule Fresenius
Hochschule für Gesundheit	Hochschule fu.r Gesundheit
Hochschule für Gesundheit	Hochschule fu.r Gesundheit Bochum
Hochschule für Musik Detmold	Hochschule fu.r Musik Detmold
Hochschule für Musik Freiburg, Bibliothek	Staatliche Hochschule fu.r Musik Freiburg
Hochschule für Musik Freiburg, Bibliothek	Hochschule fu.r Musik Freiburg
Hochschule für Musik und Tanz Köln, Bibliothek	Hochschule fu.r Musik und Tanz Ko.ln
Hochschule für Musik und Theater München, Bibliothek	Hochschule fu.r Musik und Theater Mu.nchen
Hochschule für Musik und Theater Rostock	Hochschule fu.r Musik und Theater Rostock
Hochschule für nachhaltige Entwicklung Eberswalde	Hochschule fu.r Nachhaltige Entwicklung Eberswalde (FH)
Hochschule für nachhaltige Entwicklung Eberswalde	Hochschule fu.r Nachhaltige Entwicklung Eberswalde
Hochschule für Technik Stuttgart	Hochschule fu.r Technik Stuttgart
Hochschule für Technik Stuttgart	Fachhochschule Stuttgart - Hochschule fu.r Technik
Hochschule für Technik und Wirtschaft des Saarlandes / Bibliothek	Hochschule fu.r Technik und Wirtschaft des Saarlandes
Hochschule für Technik und Wirtschaft Dresden	Hochschule fu.r Technik und Wirtschaft Dresden
Hochschule für Technik und Wirtschaft Dresden	Hochschule fu.r Technik und Wirtschaft Dresden (FH)
Hochschule Furtwangen - Die Bibliotheken	Hochschule Furtwangen
Hochschule für Wirtschaft und Recht Berlin	Hochschule fu.r Wirtschaft und Recht Berlin
Hochschule Geisenheim	Hochschule Geisenheim
Hochschule Hamm-Lippstadt, Zentrum für Wissensmanagement	Hochschule Hamm-Lippstadt
Hochschule Kaiserslautern, Hochschulbibliothek	Hochschule Kaiserslautern
Hochschule Karlsruhe - Technik und Wirtschaft HsKA	Hochschule Karlsruhe - Technik und Wirtschaft
Hochschule Karlsruhe - Technik und Wirtschaft HsKA	Hochschule Karlsruhe Technik und Wirtschaft
Hochschule Karlsruhe - Technik und Wirtschaft HsKA	Fachhochschule Karlsruhe
Hochschule Koblenz RheinAhrCampus Remagen	Hochschule Koblenz
