"Institution"	"EZB-Id"	"Sigel"
"Philosophisch-Theologische Hochschule Vallendar, Pflegewissenschaftliche Fakultät"	"PTHV"	""
"Robert Koch-Institut / Bibliothek"	"RKI"	""
"Ruhr-Universität Bochum"	"RUBO"	"DE-294"
"Saarländische Universitäts- und Landesbibliothek"	"SULB"	"DE-291"
"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden"	"SLUB"	"DE-14"
"Schloss Dagstuhl - Leibniz-Zentrum für Informatik, Bibliothek"	"DAG"	"DE-982"
"S(KIM) - Hochschule Ostwestfalen-Lippe"	"FHLH"	"DE-743"
"Slovak National Library, Martin"	"SNK"	""
"Spezialbibliothek des ZEW - Leibniz-Zentrum für Europäische Wirtschaftsforschung"	"ZEW"	"DE-Mh36"
"Staatliche Bibliothek Neuburg an der Donau"	"SBND"	"DE-150"
"Staatliche Bibliothek Regensburg"	"STABI"	"DE-155"
"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz"	"SBBPK"	"DE-1a"
"Staats- und Universitätsbibliothek Hamburg und Fachbibliotheken"	"SUBHH"	"DE-18"
"Stadtbibliothek Mainz"	"SBM"	"DE-36"
"Statistisches Bundesamt, Bibliothek"	"STATI"	"DE-282"
"Stiftung Caesar, Bonn"	"CAE"	"DE-Bo408"
"Stiftung Wissenschaft und Politik Berlin"	"SWP"	"DE-B1567"
"Technische Hochschule Ingolstadt"	"FHBIN"	"DE-573"
"Technische Hochschule Wildau - Bibliothek"	"TFHW"	"DE-526"
"Thünen-Institut"	"FAL"	"DE-253"
"Thüringer Universitäts- und Landesbibliothek Jena"	"THULB"	"DE-27"
"Thüringisches Landesamt für Denkmalpflege und Archäologie"	"TLDA"	""
"Tierärztliche Hochschule Hannover - Bibliothek"	"TIHO"	"DE-95"
"UB Landau der Universitätsbibliothek Koblenz-Landau"	"BIBLA"	""
"Universität der Bundeswehr München"	"UBWM"	"DE-706"
"Universität Marburg"	"UBMA"	"DE-4"
